"#","Date (UTC)","Time (UTC)","Solar Array 1A - Drive Voltage (V)","Solar Array 1A - Drive Current (A)","Solar Array 1A - BGA Position (degrees)","Solar Array 1B - Drive Voltage (V)","Solar Array 1B - Drive Current (A)","Solar Array 1B - BGA Position (degrees)","Solar Array 2A - Drive Voltage (V)","Solar Array 2A - Drive Current (A)","Solar Array 2A - BGA Position (degrees)","Solar Array 2B - DDrive Voltage (V)","Solar Array 2B - DDrive Current (A)","Solar Array 2B - DBGA Position (degrees)","Solar Array 3A - Drive Voltage (V)","Solar Array 3A - Drive Current (A)","Solar Array 3A - BGA Position (degrees)","Solar Array 3B - Drive Voltage (V)","Solar Array 3B - Drive Current (A)","Solar Array 3B - BGA Position (degrees)","Solar Array 4A - Drive Voltage (V)","Solar Array 4A - Drive Current (A)","Solar Array 4A - BGA Position (degrees)","Solar Array 4B - DDrive Voltage (V)","Solar Array 4B - DDrive Current (A)","Solar Array 4B - DBGA Position (degrees)","Starboard Joint Angle Position (degrees)","Port Joint Angle Position (degrees)"
"48","7/22/2016","20:36:01","160.0634765625","-49.0346383153515","357.01171875","160.0634765625","-46.3198629389339","312.879638671875","159.345703125","-57.4085285811781","133.187255859375","159.755859375","-49.481846992","187.7783203125","160.37109375","-37.8220588257226","3.1036376953125","160.8837890625","-33.33920846784","27.1087646484375","158.73046875","-45.7242829345334","207.103271484375","151.7578125","-52.225560280508","183.004760742188","6.72138977050781","353.63623046875"
"49","7/22/2016","20:36:11","160.0634765625","-49.0346383153515","356.912841796875","160.0634765625","-47.4462947488349","313.0224609375","159.345703125","-57.378068970417","133.22021484375","159.755859375","-49.2469033463346","187.651977539063","160.37109375","-37.8220588257226","3.1365966796875","160.8837890625","-33.2981779022702","26.9439697265625","158.73046875","-46.83710632672","207.103271484375","151.7578125","-52.5712616023202","183.004760742188","7.38606262207031","352.966064453125"
"50","7/22/2016","20:36:21","160.0634765625","-49.7676100870887","356.90185546875","159.9609375","-47.4396290384238","313.1103515625","159.345703125","-57.3755052356436","133.225708007813","159.755859375","-49.5276200957696","186.800537109375","160.37109375","-38.1988057548155","3.1365966796875","160.78125","-33.2400421642164","26.8450927734375","158.73046875","-46.8225014536654","207.097778320313","151.7578125","-52.7653119081508","183.004760742188","8.05073547363281","352.306884765625"
"51","7/22/2016","20:36:31","160.0634765625","-49.7676100870887","356.885375976563","159.9609375","-47.4283974384638","313.1982421875","159.345703125","-57.4482176371237","133.225708007813","159.755859375","-49.5629141778178","186.146850585938","160.37109375","-38.1988057548155","3.14208984375","160.78125","-33.6393865840984","26.773681640625","158.73046875","-46.7958019872387","207.097778320313","151.7578125","-52.7506009538554","183.004760742188","8.71540832519531","351.631225585938"
"52","7/22/2016","20:36:41","160.0634765625","-49.6908323347535","356.841430664063","159.9609375","-47.4306925914991","313.341064453125","159.2431640625","-57.1953113058506","133.225708007813","159.755859375","-48.9949126346235","186.097412109375","160.2685546875","-38.0509637162116","3.153076171875","160.78125","-33.7368573385339","26.7572021484375","158.73046875","-46.796485649845","207.09228515625","151.7578125","-52.6730907058706","183.004760742188","9.38557434082031","350.972045898438"
"53","7/22/2016","20:36:51","160.0634765625","-49.67247212864","356.764526367188","159.9609375","-47.4350143158316","313.406982421875","159.2431640625","-57.2188854575057","133.225708007813","159.8583984375","-48.844445819942","186.097412109375","160.2685546875","-38.0457263723172","3.1585693359375","160.6787109375","-33.6077671885589","26.7572021484375","158.73046875","-46.7602759482348","207.081298828125","151.7578125","-52.5341362811481","183.004760742188","10.0557403564453","350.290893554688"
"54","7/22/2016","20:37:01","160.0634765625","-49.67247212864","356.599731445313","160.0634765625","-46.7953502815882","313.450927734375","159.2431640625","-57.3930607147115","133.236694335938","159.8583984375","-49.1860695826383","186.097412109375","160.2685546875","-38.0457263723172","3.1915283203125","160.78125","-33.3176744948095","26.751708984375","159.0380859375","-46.085049250205","206.911010742188","151.7578125","-52.3360938740274","183.015747070313","10.7259063720703","349.631713867188"
"55","7/22/2016","20:37:11","160.0634765625","-48.9097844318832","356.544799804688","160.0634765625","-43.4834688681668","313.4619140625","159.140625","-57.5133242921092","133.236694335938","159.755859375","-49.5329673140114","186.097412109375","160.2685546875","-38.0343482732273","3.22998046875","160.78125","-33.0133591771977","26.7462158203125","159.0380859375","-42.7884647875988","206.900024414063","151.7578125","-52.2451545391339","183.01025390625","11.396071434021","348.950561523438"
"56","7/22/2016","20:37:21","160.0634765625","-48.9535022139014","356.522827148438","160.0634765625","-43.3858760311231","313.472900390625","159.0380859375","-57.5316366833483","133.2421875","159.755859375","-49.1713952531253","186.097412109375","160.2685546875","-38.0228358832683","3.3233642578125","160.6787109375","-33.1101951020702","26.7352294921875","159.0380859375","-42.6487900754875","206.867065429688","151.7578125","-52.0164205642964","183.01025390625","12.066237449646","348.291381835938"
"57","7/22/2016","20:37:31","160.0634765625","-49.7080948155616","356.511840820313","160.0634765625","-43.3794056528853","313.489379882813","159.0380859375","-57.6009673965797","133.2421875","159.8583984375","-49.2734318971097","186.097412109375","160.2685546875","-38.1231389542154","3.3782958984375","160.6787109375","-33.1308148546055","26.71875","159.0380859375","-42.6462507572357","206.861572265625","151.7578125","-51.6770064968097","183.015747070313","12.747389793396","347.621215820313"
